structure,Ea,detaH,nn,O1-M2,M2-O3,O3-M4,M4-O1,ang1,ang2,diangle
CrO2-011-mm,3.51,2.83,0,1.902,2.689,1.903,3.446,71.039,74.922,-43.15
CrO2-110-mm,3.94,3.21,0,1.887,2.909,1.887,2.909,90,90,0
MnO2-011-mm,3.51,3.1,0,1.887,2.67,1.88,3.429,71.135,74.73,-42.892
MnO2-110-mm,3.26,2.89,0,1.892,2.88,1.892,2.88,90,90,0
NbO2-011-mm,1.53,0.19,0,2.116,2.953,2.097,3.836,72.409,70.595,-46.328
NbO2-110-mm,1.9,1,0,2.028,3.067,2.028,3.067,90,90,0
MoO2-011-mm,2.3,1.22,0,2.057,2.837,2.037,3.744,74.767,66.509,-46.58
MoO2-110-mm,1.4,0.97,0,2.04,2.867,2.04,2.867,90,90,0
RuO2-011-mm,2.16,1.13,0,1.996,2.777,1.989,3.545,69.946,77.55,-41.119
RuO2-110-mm,2.33,1.33,0,1.957,3.122,1.957,3.122,90,90,0
RhO2-011-mm,2.28,1.08,0,1.996,2.804,1.996,3.572,69.983,77.435,-41.496
RhO2-110-mm,2,0.75,0,1.969,3.125,1.969,3.125,90,90,0
OsO2-011-mm,1.16,-0.38,0,2.016,2.806,2.004,3.564,68.874,79.394,-40.475
OsO2-110-mm,1.21,-0.29,0,1.957,3.197,1.957,3.197,90,90,0
IrO2-011-mm,1.49,-0.39,0,2.008,2.807,1.996,3.567,69.08,78.968,-40.713
IrO2-110-mm,1.03,-0.98,0,1.962,3.175,1.962,3.175,90,90,0
CrO2-MO3n,1.45,1.22,1,0,0,0,1.908,0,0,0
MnO2-MO3n,1.12,0.5,1,0,0,0,1.882,0,0,0
NbO2-MO3n,1.43,1.34,1,0,0,0,2.118,0,0,0
MoO2-MO3n,0.82,0.18,1,0,0,0,2.01,0,0,0
RuO2-MO3n,1.15,0.74,1,0,0,0,1.982,0,0,0
RhO2-MO3n,0.71,-0.13,1,0,0,0,1.996,0,0,0
OsO2-MO3n,1.03,0.62,1,0,0,0,2.006,0,0,0
IrO2-MO3n,0.61,-0.11,1,0,0,0,2,0,0,0
CrO2-001-MO2n,1.27,0.22,2,0,0,0,1.903,130.117,89.759,-40.301
CrO2-011-MO2n,1.3,0.69,2,0,0,0,1.887,130.161,90,-39.663
MnO2-001-MO2n,0.94,-0.25,2,0,0,0,1.898,130.031,89.916,-40.096
MnO2-011-MO2n,0.89,-0.12,2,0,0,0,1.892,130.228,90,-40.054
NbO2-001-MO2n,1.18,0.29,2,0,0,0,2.088,133.001,89.188,-43.594
NbO2-011-MO2n,1.1,-0.29,2,0,0,0,2.028,133.533,90,-41.827
MoO2-001-MO2n,1,0.26,2,0,0,0,1.965,135.234,91.039,-44.502
MoO2-011-MO2n,1.07,0.49,2,0,0,0,2.04,135.819,90,-48.087
RuO2-001-MO2n,1.23,0.18,2,0,0,0,1.934,128.417,90.337,-38.153
RuO2-011-MO2n,1.14,0.12,2,0,0,0,1.957,128.465,90,-39.164
RhO2-001-MO2n,0.91,-0.53,2,0,0,0,1.969,128.503,90,-38.503
RhO2-011-MO2n,0.82,-0.49,2,0,0,0,1.969,128.503,90,-38.503
OsO2-001-MO2n,1.03,-0.24,2,0,0,0,1.966,127.156,89.865,-37.264
OsO2-011-MO2n,1.11,0.03,2,0,0,0,1.957,127.472,90,-37.193
IrO2-001-MO2n,0.63,-0.97,2,0,0,0,1.976,127.378,89.799,-37.538
IrO2-011-MO2n,0.8,-0.49,2,0,0,0,1.962,127.702,90,-37.287
CrO2-001-MO2nn,1.16,0.67,3,1.897,1.887,1.902,3.346,76.475,53.047,20.757
CrO2-011-MO2nn,1.14,0.63,3,1.908,1.903,1.903,3.352,76.534,53.3,-21.095
CrO2-110-MO2nn,1.07,0.45,3,1.903,3.352,1.887,3.346,111.283,68.717,0
MnO2-001-MO2nn,0.63,-0.16,3,1.885,1.892,1.887,3.334,76.506,53.154,20.977
MnO2-011-MO2nn,0.78,2.84E-14,3,1.882,1.898,1.88,3.336,76.476,53.081,-21.17
MnO2-110-MO2nn,0.68,-0.43,3,1.898,3.336,1.892,3.334,111.27,68.73,0
NbO2-001-MO2nn,1.23,0.4,3,2.095,2.028,2.116,3.757,75.29,50.607,20.439
NbO2-011-MO2nn,0.65,-0.14,3,2.118,2.088,2.097,3.78,75.359,51.059,-21.724
NbO2-110-MO2nn,1.55,1.07,3,2.088,3.78,2.028,3.757,111.858,68.142,0
MoO2-001-MO2nn,0.93,0.35,3,2.083,2.04,2.057,3.797,73.531,49.476,22.49
MoO2-011-MO2nn,1.04,0.37,3,2.01,1.965,2.037,3.768,73.051,47.866,-21.255
MoO2-110-MO2nn,0.63,-0.08,3,1.965,3.768,2.04,3.797,113.534,66.466,0
RuO2-001-MO2nn,0.74,0.13,3,2.003,1.957,1.996,3.429,76.837,54.765,20.731
RuO2-011-MO2nn,0.94,0.19,3,1.982,1.934,1.989,3.42,76.716,54.297,-20.312
RuO2-110-MO2nn,0.65,-0.18,3,1.934,3.42,1.957,3.429,111.498,68.502,0
RhO2-001-MO2nn,0.51,-0.43,3,1.996,1.969,1.996,3.444,77.018,54.507,20.555
RhO2-011-MO2nn,0.65,-0.19,3,1.996,1.969,1.996,3.444,77.018,54.507,-20.555
RhO2-110-MO2nn,0.24,-1.2,3,1.969,3.444,1.969,3.444,111.153,68.847,0
OsO2-001-MO2nn,0.47,-0.24,3,2.013,1.957,2.016,3.4,77.577,55.602,19.994
OsO2-011-MO2nn,0.84,0.11,3,2.006,1.966,2.004,3.404,77.528,55.493,-20.312
OsO2-110-MO2nn,0.25,-0.67,3,1.966,3.404,1.957,3.4,110.866,69.134,0
IrO2-001-MO2nn,0.15,-0.94,3,2.004,1.962,2.008,3.407,77.556,55.364,20.059
IrO2-011-MO2nn,0.54,-0.36,3,2,1.976,1.996,3.412,77.526,55.332,-20.467
IrO2-110-MO2nn,-0.04,-1.48,3,1.976,3.412,1.962,3.407,110.791,69.209,0
